ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/templatetags/static.py:115(render)
32,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/random.py:285(choice)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/templatetags/static.py:111(url)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/templatetags/static.py:124(handle_simple)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/core/handlers/base.py:300(resolve_request)
32,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/random.py:250(_randbelow_with_getrandbits)
9,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/base.py:843(resolve)
4/1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/urls/resolvers.py:657(resolve)
9,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/base.py:867(_resolve_lookup)
14,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/utils/html.py:82(conditional_escape)
17,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/utils/functional.py:239(wrapper)
5,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/utils/formats.py:199(localize)
8,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/urls/base.py:140(get_urlconf)
32,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/random.py:721(getrandbits)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/defaulttags.py:876(eval)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/core/files/storage/filesystem.py:184(url)
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/utils/formats.py:175(number_format)
29,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/contextlib.py:108(__enter__)
48,0.000,0.000,0.000,0.000,{built-in method builtins.next}
8,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/urls/base.py:109(get_script_prefix)
332,0.000,0.000,0.000,0.000,{method 'startswith' of 'str' objects}
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/urllib/parse.py:514(urljoin)
3/1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/base.py:1007(get_nodes_by_type)
29,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/contextlib.py:117(__exit__)
29,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/contextlib.py:238(helper)
32,0.000,0.000,0.000,0.000,{built-in method posix.urandom}
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/http/response.py:383(__init__)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/contrib/auth/middleware.py:25()
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/contrib/auth/middleware.py:9(get_user)
9,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/urllib/parse.py:809(quote)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/loader.py:5(get_template)
33,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/middleware/csrf.py:66()
52,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/asgiref/local.py:81(_lock_storage)
4,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/posixpath.py:71(join)
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/loaders/cached.py:28(get_template)
8,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/utils/datastructures.py:147(getlist)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/loader_tags.py:96(find_template)
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/urls/resolvers.py:424(resolve)
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/urllib/parse.py:425(urlsplit)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/engine.py:170(get_template)
3,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/urls/resolvers.py:34(__init__)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/apps/registry.py:242(is_installed)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/http/response.py:412(content)
12,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/html/__init__.py:12(escape)
8,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/utils/datastructures.py:129(_getlist)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/contrib/auth/__init__.py:165(get_user_model)
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/http/response.py:154(charset)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/utils/encoding.py:234(filepath_to_uri)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/urls/resolvers.py:195(match)
33,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/threading.py:246(__enter__)
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/utils/numberformat.py:7(format)
30,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/threading.py:261(_is_owned)
34,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/utils/functional.py:241()
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/http/response.py:305(make_bytes)
5,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/context.py:48(push)
8,0.000,0.000,0.000,0.000,:1017(_handle_fromlist)
15,0.000,0.000,0.000,0.000,{method 'search' of 're.Pattern' objects}
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/loaders/cached.py:72(cache_key)
8,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/re.py:289(_compile)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/loader.py:65(_engine_list)
8,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/re.py:270(escape)
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/conf/__init__.py:184(_USE_L10N_INTERNAL)
58,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
33,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/threading.py:249(__exit__)
30,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/queue.py:251(_get)
33,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/queue.py:245(_qsize)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/apps/registry.py:188(get_model)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/context.py:136(__init__)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/utils.py:93(all)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/core/handlers/base.py:317(check_response)
7,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/context.py:14(__init__)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/defaulttags.py:306(nodelist)
82,0.000,0.000,0.000,0.000,{method 'replace' of 'str' objects}
26,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/base.py:1027(render_annotated)
5,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/urls/resolvers.py:306(match)
64,0.000,0.000,0.000,0.000,{method 'index' of 'str' objects}
108,0.000,0.000,0.000,0.000,{built-in method builtins.len}
